ZCTA,Counties,Population Density (People per Square Kilometer),Median Value of Owner Occupied Units (Dollars)
00601,Adjuntas Municipio|Utuado Municipio,103.339622913704,81800
00602,Aguada Municipio|Añasco Municipio,478.034007610223,85600
00603,Aguadilla Municipio|Moca Municipio,559.8639068911835,116000
00606,Maricao Municipio|Sabana Grande Municipio|Yauco Municipio,43.62275929550141,86000
00610,Aguada Municipio|Añasco Municipio|Las Marías Municipio|Moca Municipio,267.6705917599568,87100
00611,Utuado Municipio,60.607469647572465,-
00612,Arecibo Municipio|Barceloneta Municipio|Hatillo Municipio,316.55237431420454,96200
00616,Arecibo Municipio,348.63729748626764,95100
00617,Barceloneta Municipio|Florida Municipio,474.16160052521485,101400
00622,Cabo Rojo Municipio,97.0953068107638,116400
00623,Cabo Rojo Municipio,387.30152176008096,103700
00624,Peñuelas Municipio|Ponce Municipio,178.49276691957513,77900
00627,Camuy Municipio|Quebradillas Municipio,273.7234794002078,93300
00631,Adjuntas Municipio|Lares Municipio,174.65533671486156,91000
00636,San Germán Municipio,584.3218550060591,-
00637,Lajas Municipio|Sabana Grande Municipio|San Germán Municipio,253.85570801596384,95700
00638,Ciales Municipio|Manatí Municipio|Orocovis Municipio,97.92423654433443,88000
00641,Adjuntas Municipio|Utuado Municipio,111.50769154047579,88900
00646,Dorado Municipio|Vega Alta Municipio,665.2374234785308,133400
00647,Guánica Municipio|Lajas Municipio,112.60192598866617,83100
00650,Arecibo Municipio|Barceloneta Municipio|Ciales Municipio|Florida Municipio|Manatí Municipio|Utuado Municipio,166.02137630223513,94900
00652,Arecibo Municipio,240.93185248545777,96900
00653,Guánica Municipio|Sabana Grande Municipio,161.6048233060868,84100
00656,Guayanilla Municipio|Yauco Municipio,164.58441651530825,78200
00659,Hatillo Municipio,351.9122983506842,90700
00660,Hormigueros Municipio,526.9747772569585,100500
00662,Isabela Municipio,381.41899184982367,106800
00664,Jayuya Municipio|Utuado Municipio,124.00491120685372,94100
00667,Lajas Municipio|San Germán Municipio,150.86506962202972,89000
00669,Lares Municipio|Las Marías Municipio|San Sebastián Municipio|Utuado Municipio,167.6169507331247,86800
00670,Añasco Municipio|Las Marías Municipio|Maricao Municipio|Mayagüez Municipio,73.2885403205771,85300
00674,Manatí Municipio|Vega Baja Municipio,349.60063114887157,105200
00676,Aguada Municipio|Aguadilla Municipio|Moca Municipio,290.1012453820586,89900
